serverTime,millis,temperature,humidity,dewPoint
"2025-12-07T10:58:16.887Z","7804324","16.6","64","9.4"
"2025-12-07T10:58:26.919Z","7814356","16.6","64","9.4"
"2025-12-07T10:58:36.909Z","7824345","16.6","64","9.4"
"2025-12-07T10:58:46.930Z","7834367","16.6","64","9.4"
"2025-12-07T10:58:56.925Z","7844362","16.6","64","9.4"
"2025-12-07T10:59:06.957Z","7854394","16.6","64","9.4"
"2025-12-07T10:59:16.946Z","7864383","16.6","64","9.4"
"2025-12-07T10:59:27.053Z","7874489","16.6","64","9.4"
"2025-12-07T10:59:37.066Z","7884502","16.6","64","9.4"
"2025-12-07T10:59:46.986Z","7894403","16.6","64","9.4"
"2025-12-07T10:59:57.039Z","7904475","16.6","64","9.4"
"2025-12-07T11:00:07.068Z","7914505","16.6","64","9.4"
"2025-12-07T11:00:17.106Z","7924543","16.6","64","9.4"
"2025-12-07T11:00:27.036Z","7934473","16.6","64","9.4"
"2025-12-07T11:00:37.173Z","7944610","16.6","64","9.4"
"2025-12-07T11:00:47.006Z","7954442","16.6","64","9.4"
"2025-12-07T11:00:57.040Z","7964476","16.6","64","9.4"
"2025-12-07T11:01:07.074Z","7974511","16.6","64","9.4"
"2025-12-07T11:01:17.111Z","7984547","16.6","64","9.4"
"2025-12-07T11:01:27.043Z","7994479","16.6","64","9.4"
"2025-12-07T11:01:37.078Z","8004515","16.6","64","9.4"
"2025-12-07T11:01:47.027Z","8014463","16.6","64","9.4"
"2025-12-07T11:01:57.151Z","8024587","16.6","64","9.4"
"2025-12-07T11:02:07.042Z","8034479","16.6","64","9.4"
"2025-12-07T11:02:17.119Z","8044555","16.6","64","9.4"
"2025-12-07T11:02:27.049Z","8054487","16.6","64","9.4"
"2025-12-07T11:02:37.053Z","8064491","16.6","64","9.4"
"2025-12-07T11:02:47.120Z","8074557","16.6","64","9.4"
"2025-12-07T11:02:57.155Z","8084593","16.6","64","9.4"
"2025-12-07T11:03:07.087Z","8094526","16.6","64","9.4"
